law_enforcement_agency,cause,armed
Millbrook Police Department,Gunshot,No
Rapides Parish Sheriff's Office,Gunshot,No
Kenosha Police Department,Gunshot,No
South Gate Police Department,Gunshot,Firearm
Kent Police Department,Gunshot,No
Phoenix Police Department,Gunshot,No
Bakersfield Police Department,Gunshot,Firearm
Los Angeles Police Department,Gunshot,Non-lethal firearm
Wise County Sheriff's Department and Texas DPS ,Gunshot,Firearm
Kentwood Police Department and Wyoming DPS,Gunshot,Other
Kings County Sheriff's Office,Gunshot,Knife
Orange County Sheriff's Department,Gunshot,No
US Marshals Service,Gunshot,No
Terre Haute Police Department ,Gunshot,Firearm
Indianapolis Metropolitan Police Department,Gunshot,Non-lethal firearm
Metro Nashville Police Department,Gunshot,Firearm
Atlanta Police Department,Gunshot,Vehicle
Arlington Police Department,Gunshot,Firearm
San Francisco Police Department,Gunshot,Firearm
San Francisco Sheriff's Department,Death in custody,No
San Francisco Police Department,Gunshot,Vehicle
Norfolk Police Division,Death in custody,No
Kansas City KS Police Department and Kansas Highway Patrol,Gunshot,Other
Fontana Police Department,Gunshot,Firearm
Grady County Sheriff's Department and Chickasha Police Department,Gunshot,Firearm
Medford Police Department,Gunshot,Firearm
Derry Police Department,Gunshot,Firearm
Los Angeles Police Department,Gunshot,Firearm
Putnam County Sheriff's Office,Gunshot,Firearm
El Paso Police Department,Gunshot,Firearm
Tehama County Sheriff's Department,Gunshot,Knife
Boston Police Department,Gunshot,Firearm
Memphis Police Department,Gunshot,Vehicle
Huntsville Police Department,Gunshot,Knife
Habersham County Sheriff's Office,Gunshot,Firearm
Lancaster Police Department,Gunshot,Knife
DeKalb County Sheriff's Department,Gunshot,No
Douglas Police Department,Gunshot,Firearm
Los Angeles County Sheriff's Department,Gunshot,Firearm
Pasco Police Department,Gunshot,Firearm
Union County Sheriff's Office,Gunshot,Firearm
Floyd County Sheriff's Office,Taser,Knife
Oklahoma City Police Department,Gunshot,Vehicle
St Petersburg Police Department,Gunshot,Firearm
Burlington Police Department,Gunshot,Firearm
Santa Ana Police Department,Gunshot,Knife
Baytown Police Department,Gunshot,Other
Atlanta Police Department,Struck by vehicle,No
Gastonia Police Department,Gunshot,Firearm
Bernalillo County Sheriff's Department,Gunshot,Firearm
Oklahoma Department of Wildlife Conservation,Gunshot,Firearm
Washington DC Metro Transit Police,Gunshot,Firearm
Palm Bay Police Department,Gunshot,Knife
Cleveland Division of Police,Gunshot,Firearm
Victoria Police Department,Gunshot,Firearm
Canyon County Sheriff's Office,Gunshot,Knife
Los Angeles Police Department,Gunshot,Firearm
Eugene Police Department,Gunshot,Firearm
South Gate Police Department,Gunshot,Firearm
Garfield County Sheriff's Office,Gunshot,Knife
Los Angeles County Sheriff's Department,Taser,Firearm
Saline County Sheriff's Office,Gunshot,Knife
Clackamas County Sheriff's Office,Gunshot,Non-lethal firearm
US Marshals Service,Gunshot,No
Elizabethtown Police Department,Gunshot,Knife
Coconut Creek Police Department,Taser,Firearm
Stockton Police Department and San Joaquin County Sheriff's Office,Gunshot,Knife
Bisbee Police Department,Gunshot,Knife
Magoffin County Sheriff's Office and Kentucky State Police,Gunshot,Firearm
St Johns County Sheriff's Office,Gunshot,Firearm
Detroit Police Department,Gunshot,No
Brevard County Sheriff's Office,Gunshot,Knife
Houston Police Department,Gunshot,No
Yuba County Sheriff's Office,Taser,Firearm
Los Angeles Police Department,Gunshot,Vehicle
Greenville County Sheriff's Office,Gunshot,Firearm
Clifton Police Department and Greenlee County Sheriff's Office,Gunshot,Firearm
