street_address,city,state,latitude,longitude
Clearview Ln,Millbrook,AL,32.529577,-86.362829
300 block Iris Park Dr,Pineville,LA,31.3217392,-92.4348602
22nd Ave and 56th St,Kenosha,WI,42.5835597,-87.8357101
3000 Seminole Ave,South Gate,CA,33.9392976,-118.2194634
364 Hiwood Ave,Munroe Falls,OH,41.1485748,-81.4298782
18th St and Palm Ln,Phoenix,AZ,33.4693799,-112.0433197
4000 Union Ave,Bakersfield,CA,35.3956975,-119.0027449
1500 Bayview Ave,Wilmington,CA,33.7930495,-118.2709256
Pickett Runn Rd,Sunset,TX,30.6653042,-96.4014816
200 Abbie St SE,Wyoming,MI,42.8932381,-85.6605835
7th Ave and Kansas Ave,Hanford,CA,36.2109603,-119.5828798
28 Paseo Viento,Rancho Santa Margarita,CA,33.6533852,-117.6133728
1200 E Airtex Dr,Houston,TX,29.9832049,-95.4038566
25th St and Poplar St,Terre Haute ,IN,39.4629302,-87.3788602
5700 block Ashby Dr,Indianapolis,IN,39.7669106,-86.1499634
1128 Murfreesboro Pike,Nashville,TN,36.1259117,-86.7090149
141 Pryor St SW,Atlanta,GA,33.7512627,-84.3930283
4219 2nd Road N,Arlington,VA,38.8731527,-77.1050099
Van Ness Ave and Pine St,San Francisco,CA,37.7894309,-122.4220984
1 Moreland Dr,San Francisco,CA,37.6279793,-122.4539337
Folsom St and 24th St,San Francisco,CA,37.7525108,-122.4140801
1223 Omaha Ave,Norfolk,NE,42.0185249,-97.3862886
S 12th St and Ruby St,Kansas City,KS,39.0714403,-94.6402303
9700 Kempster Ave,Fontana,CA,34.0774421,-117.4297614
1200 W Florida Ave,Chickasha,OK,35.0401063,-97.9480673
360 Argyle Ct,Medford,OR,42.3301735,-122.898735
Scobie Pond Rd and Julian Rd,Derry,NH,42.9080801,-71.3366499
Tyler St and Glenoaks Blvd,Sylmar,CA,34.31029,-118.4531897
Putnam Loop Rd,Putnam Hall,FL,29.743281,-81.963951
4400 Tetons Dr,El Paso,TX,31.8576378,-106.4396178
4740 Barham Ave,Corning,CA,39.9362717,-122.2013168
Humboldt Ave and Ruthven St,Roxbury,MA,42.3126099,-71.0899229
4545 Aldridge Dr,Memphis,TN,35.0246391,-90.0544891
1100 E Gateway Dr SE,Huntsville,AL,34.6168404,-86.5641098
Lower Pond Ct,Clarkesville,GA,34.6314812,-83.5972519
305 E Walnut St,Lancaster,PA,40.0434474,-76.2999885
3028 Chamblee Dunwoody Rd,Chamblee,GA,33.8942184,-84.3032227
1404 N June Ave,Douglas,GA,31.5233612,-82.8451767
2400 Flower St,Los Angeles,CA,34.0280075,-118.2735977
1107 W Lewis St,Pasco,WA,46.2285118,-119.1019287
9661 Strong Hwy,Strong,AR,33.1112823,-92.3590775
3189 Morton Bend Rd,Rome,GA,34.2185669,-85.3869934
3632 SW 38th St,Oklahoma City,OK,35.4262543,-97.5826111
5236 Robin Ln N,St Petersburg,FL,27.8200741,-82.6588058
104 N Garfield Ave,Burlington,IA,40.8100281,-91.1185837
300 S Main St,Santa Ana,CA,33.7431641,-117.867981
West Texas Ave and Gaillard St,Baytown,TX,29.7330154,-94.9706357
Metropolitan Pkwy and Fair Dr,Atlanta,GA,33.7033899,-84.4080502
2325 Union Rd,Gastonia,NC,35.2286491,-81.1696243
Arenal Rd SW and Tapia Blvd SW,Albuquerque,NM,35.05179,-106.6883397
NA,Bunch,OK,35.6848412,-94.7619019
700 14th St NW ,Washington,DC,38.8984573,-77.032015
900 Castile Rd SE,Palm Bay,FL,27.9906769,-80.6457672
1077 Parkwood Dr,Cleveland,OH,41.5285759,-81.6090775
800 Simpson Rd,Victoria,TX,28.8776989,-97.0015351
9000 Charles Way,Middleton,ID,43.7041283,-116.5797195
1602 Pacific Ave,Los Angeles,CA,33.9877281,-118.4717178
2200 Devos St,Eugene,OR,44.0894276,-123.1812222
8900 Kauffman Ave,South Gate,CA,33.9523485,-118.1889472
I-70 and US-6,Glenwood Springs,CO,39.5608522,-107.3613187
1600 E 123rd St,Los Angeles,CA,33.9208252,-118.2461601
2388 E Kansas Hwy 4,Assaria,KS,38.7112324,-97.5695687
29000 S Wall St,Colton,OR,45.1577606,-122.4377594
1031 Nuuanu Ave,Honolulu,HI,21.3106435,-157.8625984
111 Towne Dr,Elizabethtown,KY,37.734657,-85.888427
1701 Andros Isle,Coconut Creek,FL,26.256782,-80.167854
South San Joaquin St and East Church St,Stockton,CA,37.9482801,-121.2858499
101 Naco Hwy,Bisbee,AZ,31.3995342,-109.9178085
Kentucky Rte 7,Gunlock,KY,37.5631485,-82.9268265
497 Florida Ave,St Augustine,FL,29.850338,-81.2775116
13331 Strathmoor St,Detroit,MI,42.3859138,-83.1876144
Aurora St,Cocoa,FL,28.35171,-80.748771
3 Greens Rd,Houston,TX,29.9494667,-95.4163284
Hammonton Smartville Rd,Marysville,CA,39.1221504,-121.5654984
500 San Pedro St,Los Angeles,CA,34.0437775,-118.243721
South Carolina Rte 8 and Augusta Rd,Peltzer,SC,34.6285944,-82.3912225
Coronado Trail,Morenci,AZ,33.0515518,-109.3249283
4585 Frederica St,Owensboro,KY,37.7242317,-87.1226807
900 Walnut St,Jonesboro,AR,35.8342552,-90.7173691
2300 SE 130th Ave,Portland,OR,45.5057439,-122.5299
6530 Georgia Rte 21,Port Wentworth,GA,32.1656761,-81.1842117
123 Gregory Pl,Winchester,VA,39.1907845,-78.128479
600 Main St,Follansbee,WV,40.3233614,-80.5951533
1600 W 500 N,Provo,UT,40.2463989,-111.6674271
4100 Avenue I,Rosenberg,TX,29.5576077,-95.7844925
E Broadway and US-63,Columbia,MO,38.9464501,-92.2934712
5101 Georgia Rte 133,Moultrie,GA,31.0882878,-83.6398052
7300 Blanding Blvd,Jacksonville,FL,30.2145387,-81.7372566
13900 Castle Blvd,Silver Spring,MD,39.0841484,-76.9422684
530 Stanley Ave,New York,NY,40.6572562,-73.8886551
1363 Clark Dr,Sidney,NE,41.121974,-102.982879
NE 36th St,Fort Worth,TX,32.810365,-97.342555
8351 N Cracker Barrel Rd,Marana,AZ,32.3580589,-111.0924911
